gpu|score|rank
GeForce GTX 660M|1407|196
GeForce GTX 670|5387|32
GeForce GTX 670M|1869|150
GeForce GTX 670MX|2054|136
GeForce GTX 675M|2110|132
GeForce GTX 675MX|2349|120
GeForce GTX 680|5717|27
GeForce GTX 680M|3397|79
GeForce GTX 680MX|4355|52
GeForce GTX 690|5235|36
GeForce GTX 745|2155|131
GeForce GTX 750|3241|82
GeForce GTX 750 Ti|3687|70
GeForce GTX 760|4955|43
GeForce GTX 760 Ti|5077|39
GeForce GTX 760A|1281|220
GeForce GTX 760M|1402|198
GeForce GTX 765M|1910|148
GeForce GTX 770|6148|22
GeForce GTX 770M|2681|107
GeForce GTX 775M|4447|48
GeForce GTX 780|8029|12
GeForce GTX 780 Ti|8979|6
GeForce GTX 780M|4124|60
GeForce GTX 850A|376|678
GeForce GTX 850M|1411|195
GeForce GTX 860M|1579|175
GeForce GTX 870M|2173|128
GeForce GTX 880M|3652|71
GeForce GTX 950|5248|33
GeForce GTX 950A|1476|188
GeForce GTX 950M|1414|193
GeForce GTX 960|5956|24
GeForce GTX 960A|1612|172
GeForce GTX 960M|1677|166
GeForce GTX 965M|2951|92
GeForce GTX 970|8674|7
GeForce GTX 970M|4132|59
GeForce GTX 980|9735|4
GeForce GTX 980 Ti|11588|1
GeForce GTX 980M|5863|26
GeForce GTX Titan|7916|13
GeForce GTX TITAN Black|8654|8
GeForce GTX TITAN X|10835|2
GeForce GTX TITAN Z|8103|11
GeForce PCX 5300|6|1209
GeForce PCX 5750|34|1127
GeForce2 GTS/GeForce2 Pro|3|1289
GeForce2 Integrated GPU|4|1248
GeForce2 MX|3|1280
GeForce2 MX 100/200|3|1278
GeForce2 MX/MX 400|3|1288
GeForce2 Ti|4|1265
GeForce3|4|1255
GeForce3 Ti 200|4|1253
GeForce3 Ti 500|2|1296
GeForce4 420 Go|3|1266
GeForce4 420 Go 32M|5|1224
GeForce4 4200 Go|4|1251
GeForce4 440 Go|3|1287
GeForce4 440 Go 64M|5|1235
GeForce4 448 Go|5|1231
GeForce4 460 Go --MobileForce M4 Stock--|5|1232
GeForce4 MX 4000|4|1243
GeForce4 MX 420|4|1263
GeForce4 MX 440|4|1257
GeForce4 MX 440 with AGP8X|4|1259
GeForce4 MX 440SE|4|1241
GeForce4 MX 460|5|1230
GeForce4 MX Integrated GPU|6|1220
GeForce4 Ti 4200|5|1225
GeForce4 Ti 4400|6|1212
GeForce4 Ti 4600|5|1223
GeForce4 Ti 4800 SE|6|1219
GeForce9400M|105|928
GF117|542|577
GIGABYTE RADEON 9600 PRO|43|1095
GRID K1|840|345
GRID K140Q|769|391
GRID K2|3772|67
GRID K220Q|835|347
GRID K280Q|1840|152
GRID K520|4283|56
GTX 970TI|9190|5
Intel - Express Chipset Q45/Q43|60|1042
Intel 82845G Controller|1|1310
Intel 82845G/GL Controller|2|1305
Intel 82845G/GL/GE/PE/GV Controller|2|1302
Intel 82865G Controller|4|1262
Intel 82915G Express|5|1238
Intel 82915G/GV/910GL Express|3|1277
Intel 82945G Express|6|1213
Intel 865 Embedded Controller|3|1293
Intel 946GZ Express|6|1218
Intel B43 Express Chipset|64|1029
Intel G33/G31 Express|11|1197
Intel G35 Express|29|1140
Intel G41 Express Chipset|62|1037
Intel G41 Express-Chipsatz|58|1048
Intel G45/G43 Express Chipset|70|1016
Intel G965 Express|17|1181
Intel Haswell HD - GT1|115|907
Intel Haswell HD - GT2|140|868
Intel HD 3000|311|724
Intel HD 4000|452|636
Intel HD 4400|546|572
Intel HD 4600|709|435
Intel HD 5000|594|536
Intel HD 510|587|541
Intel HD 515|577|547
Intel HD 520|782|380
Intel HD 5200|777|384
Intel HD 530|1009|279
Intel HD 5300|389|671
Intel HD 5500|560|557
Intel HD 5600|639|494
Intel HD 6000|816|360
Intel HD Family|409|661
Intel HD Modded|119|898
Intel HD P3000|335|709
Intel HD P4000|414|656
Intel HD P4600|604|527
Intel HD P4600/P4700|646|490
Intel HD P530|948|300
Intel Iris 5100|724|426
Intel Iris 540|1442|190
Intel Iris 6100|963|297
Intel Iris Pro 5200|1175|237
Intel Iris Pro 6200|1551|181
Intel Media Accelerator 3150|2|1304
Intel Media Accelerator 500|3|1275
Intel Media Accelerator 600|6|1215
Intel Media Accelerator HD|116|905
Intel Q33 Express|12|1192
Intel Q35 Express|12|1194
Intel Q45/Q43 Express Chipset|69|1019
Intel Q45/Q43 Express-Chipsatz|63|1032
Intel Q965/Q963 Express|7|1202
Intel Skylake HD DT GT2|578|545
Intel US15 Embedded Media and Controller|7|1206
ION|103|936
ION LE|103|937
KB 2C|235|773
M860G with Mobility Radeon 4100|77|1003
M880G with Mobility Radeon HD 4200|94|961
M880G with Mobility Radeon HD 4225|74|1009
M880G with Mobility Radeon HD 4250|107|922
Matrox G200e WDDM 1.2|59|1046
Matrox G200eh|40|1105
Matrox G200eh WDDM 1.2|50|1066
Matrox G200eR|30|1137
Matrox G200eR WDDM 1.2|56|1054
Matrox G200eW|42|1096
Matrox G200eW WDDM 1.2|49|1070
Matrox M9140 LP PCIe x16|21|1175
Matrox Millennium P650 PCIe 128|5|1226
Matrox Parhelia APVe|5|1234
Mobile Intel - famiglia Express Chipset 45|41|1100
Mobile Intel - famiglia Express Chipset serie 4|46|1079
Mobile Intel 4 Express-Chipsatzfamilie|45|1082
Mobile Intel 45 Express|43|1093
Mobile Intel 45 Express-Chipsatzfamilie|39|1108
Mobile Intel 915GM/GMS/910GML Express|4|1261
Mobile Intel 945 Express|4|1256
Mobile Intel 945GM Express|5|1240
Mobile Intel 945GM/GU Express|5|1239
Mobile Intel 965 Express|19|1177
Mobile Intel 965 Express-Chipsatzfamilie|24|1162
Mobile Intel HD|411|660
Mobile Intel serie 4 Express|44|1091
MOBILITY FIREGL T2|39|1109
MOBILITY FIREGL T2/T2e|33|1132
MOBILITY FireGL V3200|61|1039
MOBILITY FireGL V5000|81|998
MOBILITY FireGL V5200|44|1085
MOBILITY FireGL V5250|26|1155
Mobility FireGL V5725|228|778
Mobility Radeon 4100|88|980
MOBILITY RADEON 7000 IGP|6|1210
MOBILITY RADEON 7500|4|1242
MOBILITY RADEON 9000|3|1285
MOBILITY RADEON 9000 IGP|7|1204
MOBILITY RADEON 9000/9100 IGP|5|1229
MOBILITY RADEON 9200|3|1268
MOBILITY RADEON 9600 PRO TURBO|23|1166
MOBILITY RADEON 9600/9700|35|1122
MOBILITY RADEON 9700|29|1141
Mobility Radeon HD 2300|52|1063
Mobility Radeon HD 2400|92|967
Mobility Radeon HD 2400 XT|104|933
Mobility Radeon HD 2600|175|842
Mobility Radeon HD 2600 XT|199|811
Mobility Radeon HD 3410|62|1038
Mobility Radeon HD 3430|97|956
Mobility Radeon HD 3450|91|974
Mobility Radeon HD 3470|94|965
Mobility Radeon HD 3470 Hybrid X2|97|954
Mobility Radeon HD 3650|222|785
Mobility Radeon HD 3670|237|772
Mobility Radeon HD 3850|365|688
Mobility Radeon HD 3870 X2|505|609
Mobility Radeon HD 4200|92|971
Mobility Radeon HD 4225|67|1024
Mobility Radeon HD 4250|100|948
Mobility Radeon HD 4270|95|960
Mobility Radeon HD 4330|164|849
Mobility Radeon HD 4350|148|861
Mobility Radeon HD 4550|193|822
Mobility Radeon HD 4570|202|808
Mobility Radeon HD 4650|396|668
Mobility Radeon HD 4670|474|626
Mobility Radeon HD 4850|813|362
Mobility Radeon HD 4870|737|413
Mobility Radeon HD 5000|773|386
Mobility Radeon HD 5000 Serisi|478|621
Mobility Radeon HD 5165|278|744
Mobility Radeon HD 530v|177|839
Mobility Radeon HD 540v|195|818
Mobility Radeon HD 5430|182|832
Mobility Radeon HD 5450|213|798
Mobility Radeon HD 545v|199|809
Mobility Radeon HD 5470|231|775
Mobility Radeon HD 550v|268|752
Mobility Radeon HD 5570|738|411
Mobility Radeon HD 560v|323|715
Mobility Radeon HD 5650|524|591
Mobility Radeon HD 565v|337|704
Mobility Radeon HD 5730|656|473
Mobility Radeon HD 5850|766|395
Mobility Radeon HD 5870|1194|236
Mobility Radeon HD serie 4200|93|966
Mobility Radeon X1300|40|1103
Mobility Radeon X1350|40|1104
Mobility Radeon X1400|42|1098
Mobility Radeon X1450|33|1131
Mobility Radeon X1600|91|972
Mobility Radeon X1700|98|953
MOBILITY RADEON X1800|134|880
Mobility Radeon X1900|134|881
Mobility Radeon X2300|47|1078
Mobility Radeon X2300 HD|49|1069
Mobility Radeon X2500|68|1023
MOBILITY RADEON X300|34|1125
MOBILITY RADEON X600|50|1065
MOBILITY RADEON X600 SE|49|1073
MOBILITY RADEON X700|65|1028
MOBILITY RADEON XPRESS 200|27|1147
Mobility Radeon. HD 5470|193|821
nForce 750a SLI|85|986
nForce 760i SLI|140|869
nForce 780a SLI|92|968
nForce 980a/780a SLI|83|993
NVS 2100M|192|826
NVS 300|197|815
NVS 310|277|745
NVS 3100M|215|795
NVS 315|337|706
NVS 4200M|354|693
NVS 510|764|396
NVS 5100M|372|682
NVS 5200M|621|507
NVS 5400M|747|406
PHDGD Solo 1.2.0 x86|11|1196
Quadro 1000M|729|420
Quadro 1100M|755|401
Quadro 2000|1305|213
Quadro 2000 D|1167|238
Quadro 2000D|1285|219
Quadro 2000M|1076|257
Quadro 280 NVS PCIe|5|1237
Quadro 3000M|1316|210
Quadro 400|259|763
Quadro 4000|1935|143
Quadro 4000M|1767|160
Quadro 410|424|651
Quadro 5000|2712|106
Quadro 5000M|1919|146
Quadro 500M|646|489
Quadro 5010M|1748|161
Quadro 600|680|453
Quadro 6000|3445|77
Quadro CX|1013|276
Quadro FX 1000|34|1124
Quadro FX 1100|35|1118
Quadro FX 1300|24|1163
Quadro FX 1400|104|930
Quadro FX 1500|156|852
Quadro FX 1500M|174|843
Quadro FX 1600M|225|781
Quadro FX 1700|205|806
Quadro FX 1700M|320|717
Quadro FX 1800|595|535
Quadro FX 1800M|482|620
Quadro FX 2500M|209|801
Quadro FX 2700M|541|578
Quadro FX 2800M|677|457
Quadro FX 3000|65|1027
Quadro FX 3400/4400|103|935
Quadro FX 3450|148|862
Quadro FX 3450/4000 SDI|133|885
Quadro FX 350|85|985
Quadro FX 3500|209|800
Quadro FX 350M|62|1036
Quadro FX 3600M|471|628
Quadro FX 360M|91|973
Quadro FX 370|90|977
Quadro FX 370 LP|108|919
Quadro FX 3700|634|499
Quadro FX 3700M|661|468
Quadro FX 370M|88|979
Quadro FX 380|163|850
Quadro FX 380 LP|215|793
Quadro FX 3800|847|341
Quadro FX 3800M|835|348
Quadro FX 380M|223|784
Quadro FX 4500|207|804
Quadro FX 4600|613|515
Quadro FX 4700 X2|665|461
Quadro FX 4800|991|285
Quadro FX 500/600 PCI|14|1186
Quadro FX 500/FX 600|7|1205
Quadro FX 540|86|983
Quadro FX 550|63|1031
Quadro FX 5500|226|780
Quadro FX 560|119|899
Quadro FX 5600|713|432
Quadro FX 570|123|895
Quadro FX 570M|192|825
Quadro FX 580|292|734
Quadro FX 5800|1096|252
Quadro FX 770M|315|721
Quadro FX 880M|371|683
Quadro FX Go1400|99|951
Quadro K1000M|776|385
Quadro K1100M|966|293
Quadro K1200|2881|95
Quadro K2000|1662|167
Quadro K2000D|1631|171
Quadro K2000M|1080|255
Quadro K2100M|1246|225
Quadro K2200|3412|78
Quadro K2200M|1573|177
Quadro K3000M|1605|173
Quadro K3100M|1855|151
Quadro K4000|2815|101
Quadro K4000M|2194|127
Quadro K4100M|2570|114
Quadro K420|827|351
Quadro K4200|4410|49
Quadro K5000|3993|65
Quadro K5000M|2859|98
Quadro K5100M|3115|85
Quadro K510M|624|505
Quadro K5200|6125|23
Quadro K600|827|352
Quadro K6000|7694|14
Quadro K610M|710|434
Quadro K620|2262|122
Quadro K620M|795|374
Quadro M1000M|1560|179
Quadro M2000M|1804|156
Quadro M3000M|4856|44
Quadro M4000|6368|21
Quadro M4000M|2856|99
